,Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge,y
1547,1994-10-22,3.65,1.328860177,1.31428599,255000.0,0.58928529471898,0.014574187000000016
1548,1994-10-23,3.68,1.340378354,1.339790057,265000.0,0.369978266562963,0.0005882969999999599
1549,1994-10-24,3.6,1.113490337,1.372046561,269000.0,0.0818232098252407,-0.2585562240000001
1550,1994-10-25,3.59,1.043105445,1.388235023,268000.0,0.336713345052119,-0.3451295780000001
1551,1994-10-26,3.76,1.226058055,1.389099514,269000.0,0.294686942298529,-0.163041459
1552,1994-10-27,3.6,1.052403992,1.359354289,268000.0,-0.0659453538961444,-0.3069502970000002
1553,1994-10-28,3.65,1.078381078,1.294532337,262000.0,0.212897376743265,-0.21615125899999987
1554,1994-10-29,3.75,1.307591916,1.198996196,254000.0,0.329657177664857,0.10859572000000006
1555,1994-10-30,3.61,1.271012859,1.080390398,246000.0,0.138637465380917,0.19062246100000002
1556,1994-10-31,3.26,1.042234413,1.012319445,241000.0,0.101417702962544,0.029914968000000153
1557,1994-11-01,3.18,1.038185929,1.033062919,235000.0,0.077029035201915,0.005123009999999928
1558,1994-11-02,3.02,0.960288023,1.05269866,230000.0,-0.151497702164226,-0.09241063699999985
1559,1994-11-03,3.08,1.105555634,1.062553013,222000.0,-0.0607838392626906,0.04300262099999985
1560,1994-11-04,3.16,1.310385226,1.081930048,220000.0,0.0669988435467797,0.22845517799999993
1561,1994-11-05,3.33,1.516059129,1.085951878,217000.0,0.284980145326051,0.43010725100000013
1562,1994-11-06,3.53,1.753152343,1.064570458,220000.0,0.245190228276395,0.6885818850000001
1563,1994-11-07,3.24,1.430186213,1.01395352,222000.0,0.0510154793391029,0.416232693
1564,1994-11-08,2.98,1.140049558,0.954720014,233000.0,0.0262189533779329,0.18532954400000012
1565,1994-11-09,3.13,1.121691098,0.894538441,252000.0,0.231632900791677,0.2271526570000001
1566,1994-11-10,3.38,1.08483564,0.911319315,282000.0,0.258545947904074,0.17351632500000014
1567,1994-11-11,3.66,0.873129379,0.959966718,310000.0,0.0591645819185688,-0.08683733900000001
1568,1994-11-12,4.15,0.935082654,1.038908586,327000.0,0.133722958465762,-0.10382593200000001
1569,1994-11-13,4.61,1.135632967,1.083130478,341000.0,0.178520543744617,0.0525024890000001
1570,1994-11-14,4.91,1.221943256,1.101539672,344000.0,0.304162599892918,0.12040358400000017
1571,1994-11-15,4.9,1.196618753,1.107338156,355000.0,0.199572798282878,0.08928059700000013
1572,1994-11-16,4.99,1.088437007,1.103312688,367000.0,0.0094698542216781,-0.014875680999999918
1573,1994-11-17,5.1,1.015038362,1.092704504,374000.0,-0.146075104812431,-0.077666142
1574,1994-11-18,5.15,1.000066841,1.085482965,375000.0,-0.0966997727214452,-0.08541612399999998
1575,1994-11-19,5.12,0.966448259,1.112956025,381000.0,-0.253111621975005,-0.14650776599999993
1576,1994-11-20,5.64,1.341192257,1.164929301,390000.0,0.28275143067551,0.1762629560000002
1577,1994-11-21,5.83,1.460898614,1.209990072,395000.0,0.295562744456757,0.2509085419999999
1578,1994-11-22,5.68,1.233672488,1.243963492,392000.0,-0.0458338482800497,-0.010291003999999937
1579,1994-11-23,5.54,1.141202704,1.251564593,385000.0,-0.250236654259978,-0.11036188899999999
1580,1994-11-24,5.54,1.244656422,1.234255167,374000.0,0.0306929724890244,0.01040125500000011
1581,1994-11-25,5.27,1.142473649,1.19377971,367000.0,0.0895053623442518,-0.051306061000000014
1582,1994-11-26,5.02,0.978010722,1.132091162,362000.0,0.229787802176136,-0.15408043999999999
1583,1994-11-27,5.26,1.252824706,1.04960154,360000.0,0.617256632734039,0.2032231659999999
1584,1994-11-28,5.33,1.393811135,0.971802014,365000.0,0.929316962355558,0.422009121
1585,1994-11-29,5.46,1.408280575,0.970925601,369000.0,0.578040234421013,0.437354974
1586,1994-11-30,5.5,1.387620474,0.992553824,371000.0,0.231270122561958,0.39506664999999996
1587,1994-12-01,5.56,1.459243917,1.004559189,374000.0,0.135054353485358,0.4546847279999999
1588,1994-12-02,5.49,1.336181368,0.996043269,392000.0,0.07183118684581,0.34013809900000014
1589,1994-12-03,5.76,1.29607491,0.963417778,403000.0,0.385678561002636,0.332657132
1590,1994-12-04,5.87,1.288456609,0.902394132,412000.0,0.563326775405258,0.38606247700000007
1591,1994-12-05,5.64,0.942790126,0.823566359,418000.0,0.182697759724396,0.11922376700000004
